id,ts,market,contract_type,algorithm,signal,stake,entry_price,exit_price,pnl,result,balance_after,contract_id,duration_ticks,notes
32,2026-04-03T03:09:04.856597,1HZ10V,ACCU,Calm for 8+ ticks (post-spike) | ATR=0.08750,None,1.0,9789.92,,,CANCELLED,,,,WebSocket is not connected
31,2026-04-03T03:09:04.809944,1HZ10V,ACCU,Calm for 8+ ticks (post-spike) | ATR=0.09300,None,1.0,9789.92,,,CANCELLED,,,,WebSocket is not connected
30,2026-04-03T03:09:04.760737,1HZ10V,ACCU,Calm for 8+ ticks (post-spike) | ATR=0.09250,None,1.0,9789.87,,,CANCELLED,,,,WebSocket is not connected
29,2026-04-03T03:09:04.716801,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9789.87,,,CANCELLED,,,,WebSocket is not connected
28,2026-04-03T03:09:04.689605,1HZ10V,PUT,EMA9 crossed below EMA21 | RSI=49.3,DOWN,1.0,9789.9,,,CANCELLED,,,,WebSocket is not connected
27,2026-04-03T03:09:04.610194,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9789.9,,,CANCELLED,,,,WebSocket is not connected
26,2026-04-03T03:09:04.595713,1HZ10V,DIGITMATCH,Digit 0 underrepresented at 7.0% (expected 10%),0,1.0,9789.93,,,CANCELLED,,,,WebSocket is not connected
25,2026-04-03T03:09:04.490725,1HZ10V,DIGITMATCH,Digit 0 underrepresented at 7.0% (expected 10%),0,1.0,9789.93,,,CANCELLED,,,,WebSocket is not connected
24,2026-04-03T03:08:44.431357,1HZ10V,CALL,EMA9 crossed above EMA21 | RSI=49.1,UP,1.0,9789.99,,,CANCELLED,,,,Request 9 timed out
23,2026-04-03T03:08:44.367138,1HZ10V,DIGITMATCH,Digit 0 underrepresented at 7.0% (expected 10%),0,1.0,9789.99,,,CANCELLED,,,,Request 8 timed out
22,2026-04-03T03:08:43.571750,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9790.02,,,CANCELLED,,,,WebSocket is not connected
21,2026-04-03T03:08:43.522409,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9789.59,,,CANCELLED,,,,WebSocket is not connected
20,2026-04-03T03:08:43.473755,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 7.0% (expected 10%),1,1.0,9789.86,,,CANCELLED,,,,WebSocket is not connected
19,2026-04-03T03:08:43.393859,1HZ10V,TICKLOW,Momentum streak -3 ticks | RSI=38.9,LOW,1.0,9789.81,,,CANCELLED,,,,WebSocket is not connected
18,2026-04-03T03:08:43.346799,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 6.0% (expected 10%),1,1.0,9789.84,,,CANCELLED,,,,WebSocket is not connected
17,2026-04-03T03:08:43.290369,1HZ10V,DIGITMATCH,Digit 1 underrepresented at 6.0% (expected 10%),1,1.0,9790.07,,,CANCELLED,,,,WebSocket is not connected
